code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job,Hours,GVA/H volume,Population
UKX,United Kingdom,2008,28.63,,,,,,,,,,9038.754898698906,347.5890282627813,1798.8501882472995,938434252.847987,92.35,61823772.0
UKX,United Kingdom,2009,29.24,,,,,,,,,,8140.043801792653,311.8229216597254,1834.3213144303613,920281840.830279,90.26,62260486.0
UKX,United Kingdom,2010,29.77,,,,,,,,,,8340.718175757525,360.54650185678815,1953.6881874792311,916228621.2585381,92.86,62759456.0
UKX,United Kingdom,2011,30.23,,,,,,,,,,8367.10448226608,374.64580422286195,2018.873567085924,928360498.9098207,93.08,63285145.0
UKX,United Kingdom,2012,30.75,,,,,,,,,,8643.35313001267,382.18819689160847,2041.6592739185714,946790904.2658219,93.25,63715943.0
UKX,United Kingdom,2013,31.32,,,,,,,,,,9037.925055854786,388.07666691584484,2149.3086462803426,963728895.5802343,93.35,64149121.0
UKX,United Kingdom,2014,31.96,,,,,,,,,,9674.196022517153,397.7490066873663,2164.3964014408393,990512606.753917,93.8,64634893.0
UKX,United Kingdom,2015,32.69,,,,,,,,,,10189.45681613229,402.6704572253609,2190.1504397234676,997197981.5626756,94.9,65109358.0
UKX,United Kingdom,2016,33.45,0.2905562358603994,,0.193,0.38,0.777,0.22600000000000003,0.6255090407092555,,,10734.919852942157,384.52507069127006,2285.3034249429443,1021052944.3602656,94.61,65636941.0
UKX,United Kingdom,2017,34.3,0.3111078009814642,0.12545940615986542,0.187,0.384,0.782,0.22399999999999998,0.6235961174585337,,,11302.498610640012,429.08834834304207,2368.437327357382,1030145261.6707858,96.34,66000892.0
UKX,United Kingdom,2018,35.38,0.31879023864945877,0.12271275331966455,0.184,0.392,0.7829999999999999,0.22899999999999995,0.6218695034202347,,,11500.869133824754,457.6492914460591,2508.7717727325994,1039012521.4172261,96.85,66332727.0
UKX,United Kingdom,2019,36.58,0.3189903471810022,0.12592956666660898,0.178,0.402,0.788,0.24,0.6198371865029139,,,11679.519388441266,453.44636342414566,2551.7789306173427,1055242212.8914881,97.07,66679607.0
UKX,United Kingdom,2020,38.0,0.29842995527136995,0.11494883703270323,0.162,0.43,0.788,0.24,0.6193335095588995,,,10935.031648708635,430.00680132862414,2670.2488801695586,932135357.6908886,99.15,66796967.0
UKX,United Kingdom,2021,39.53,0.29422708949076776,0.1238215108813049,0.161,0.435,0.7829999999999999,0.24899999999999994,0.6170230055078838,,0.36452608227038785,,,,1010135087.8212446,99.44,67044988.0
UKX,United Kingdom,2022,40.97,0.3406998550505716,0.11520044038930688,0.097,0.455,0.783,0.261,0.6140962382911029,,0.6399002015391384,,,,1048589941.2393875,100.0,67602759.0
UKX,United Kingdom,2023,41.87,0.3223307330634545,0.11010192332147044,0.09,0.47100000000000003,0.787,0.275,0.61054230667298,,0.7190329613018285,,,,1055637266.3908957,99.76,68265212.0
UKX,United Kingdom,2024,,,,0.09200000000000001,0.47400000000000003,0.785,0.282,,,0.7845740934222716,,,,,,
UKX,United Kingdom,2025,,,,,,,,,0.5060714482766102,0.8444534550199285,,,,,,
